x,v,t
-0.035159, -0.012851, 0.000000
-0.034488, 0.223317, 0.005000
-0.033248, 0.208006, 0.010000
-0.031156, 0.450171, 0.015000
-0.029121, 0.623013, 0.020000
-0.025594, 0.607509, 0.025000
-0.022592, 0.724870, 0.030000
-0.018804, 0.512798, 0.035000
-0.015737, 0.358035, 0.040000
-0.013784, 0.259441, 0.045000
-0.012395, 0.340424, 0.050000
-0.011281, 0.326577, 0.055000
-0.009724, 0.190012, 0.060000
-0.008818, 0.009359, 0.065000
-0.008215, 0.079726, 0.070000
-0.008533, -0.014501, 0.075000
-0.008667, 0.056982, 0.080000
-0.007155, 0.510879, 0.085000
-0.004810, 0.400630, 0.090000
-0.003880, 0.147095, 0.095000
-0.002549, 0.314323, 0.100000
-0.001306, 0.168333, 0.105000
0.000134, 0.362219, 0.110000
0.000360, 0.018499, 0.115000
0.001337, 0.353359, 0.120000
0.002418, 0.215269, 0.125000
0.003286, 0.077323, 0.130000
0.002873, -0.080535, 0.135000
0.003083, 0.014261, 0.140000
0.002938, -0.077902, 0.145000
0.002460, 0.018270, 0.150000
0.002550, 0.019669, 0.155000
0.004294, 0.528512, 0.160000
0.006194, 0.469582, 0.165000
0.009542, 0.580486, 0.170000
0.013037, 0.481496, 0.175000
0.015674, 0.600240, 0.180000
0.019154, 0.658836, 0.185000
0.022298, 0.480601, 0.190000
0.025086, 0.182121, 0.195000
0.027445, 0.383437, 0.200000
0.029071, 0.116230, 0.205000
0.029744, 0.249848, 0.210000
0.030684, 0.164469, 0.215000
0.030567, 0.072842, 0.220000
0.031928, 0.090516, 0.225000
0.031656, -0.228763, 0.230000
0.030212, -0.228775, 0.235000
0.029427, -0.127151, 0.240000
0.028776, -0.278403, 0.245000
0.027245, -0.199995, 0.250000
0.026089, -0.159180, 0.255000
0.025564, -0.241440, 0.260000
0.024209, -0.326627, 0.265000
0.021758, -0.570874, 0.270000
0.019272, -0.600774, 0.275000
0.017222, -0.281964, 0.280000
0.016024, -0.253407, 0.285000
0.014271, -0.233979, 0.290000
0.012343, -0.202594, 0.295000
0.010371, -0.439348, 0.300000
0.009134, -0.415039, 0.305000
0.007215, -0.328072, 0.310000
0.005680, -0.359692, 0.315000
0.003978, -0.410887, 0.320000
0.002813, -0.119092, 0.325000
0.001344, -0.036660, 0.330000
0.000558, -0.177989, 0.335000
0.000072, 0.020898, 0.340000
0.000006, -0.136361, 0.345000
-0.000809, -0.229611, 0.350000
-0.002585, -0.285773, 0.355000
-0.003426, -0.126364, 0.360000
-0.004213, -0.080029, 0.365000
-0.005266, -0.151730, 0.370000
-0.005149, -0.105769, 0.375000
-0.005875, -0.137901, 0.380000
-0.006436, -0.013275, 0.385000
-0.006303, -0.228229, 0.390000
-0.007962, -0.313118, 0.395000
-0.009862, -0.457598, 0.400000
-0.011195, -0.117746, 0.405000
-0.011954, -0.233127, 0.410000
-0.012793, -0.315058, 0.415000
-0.014481, -0.435744, 0.420000
-0.016334, -0.261799, 0.425000
-0.018064, -0.093602, 0.430000
-0.019142, -0.035961, 0.435000
-0.019465, -0.152205, 0.440000
-0.020137, -0.130523, 0.445000
-0.020342, 0.149169, 0.450000
-0.020606, 0.124980, 0.455000
-0.019662, 0.334066, 0.460000
-0.018444, 0.111051, 0.465000
-0.017705, 0.166505, 0.470000
-0.016981, 0.331087, 0.475000
-0.014708, 0.422976, 0.480000
-0.011752, 0.703071, 0.485000
-0.008770, 0.392523, 0.490000
-0.008202, 0.217239, 0.495000
-0.007629, -0.027197, 0.500000
-0.008263, -0.047814, 0.505000
-0.009811, -0.139340, 0.510000
-0.010745, -0.244621, 0.515000
-0.011486, -0.239265, 0.520000
-0.011820, -0.146186, 0.525000
-0.011881, 0.096905, 0.530000
-0.012187, -0.134410, 0.535000
-0.013123, -0.040603, 0.540000
-0.013392, -0.021822, 0.545000
-0.012907, 0.111116, 0.550000
-0.011664, 0.409009, 0.555000
-0.008977, 0.613257, 0.560000
-0.006036, 0.505559, 0.565000
-0.003790, 0.260520, 0.570000
-0.001762, 0.685064, 0.575000
0.002569, 0.755981, 0.580000
0.005253, 0.420497, 0.585000
0.006359, 0.242559, 0.590000
0.007970, 0.383764, 0.595000
