x,v,t
0.000460, 0.226175, 0.000000
0.000678, 0.213629, 0.001000
0.000906, 0.215841, 0.002000
0.001155, 0.320976, 0.003000
0.001477, 0.284602, 0.004000
0.001789, 0.314559, 0.005000
0.002150, 0.363447, 0.006000
0.002526, 0.401772, 0.007000
0.002926, 0.439382, 0.008000
0.003376, 0.497787, 0.009000
0.003840, 0.487693, 0.010000
0.004355, 0.463773, 0.011000
0.004850, 0.519086, 0.012000
0.005366, 0.497856, 0.013000
0.005851, 0.452850, 0.014000
0.006287, 0.405930, 0.015000
0.006669, 0.409230, 0.016000
0.007028, 0.380257, 0.017000
0.007418, 0.404079, 0.018000
0.007830, 0.415187, 0.019000
0.008254, 0.420405, 0.020000
0.008667, 0.348720, 0.021000
0.009079, 0.397168, 0.022000
0.009498, 0.415950, 0.023000
0.009923, 0.395101, 0.024000
0.010323, 0.403429, 0.025000
0.010762, 0.451438, 0.026000
0.011228, 0.509072, 0.027000
0.011768, 0.552101, 0.028000
0.012299, 0.515713, 0.029000
0.012815, 0.464051, 0.030000
0.013307, 0.512609, 0.031000
0.013834, 0.516932, 0.032000
0.014314, 0.452561, 0.033000
0.014797, 0.479366, 0.034000
0.015303, 0.482036, 0.035000
0.015799, 0.491106, 0.036000
0.016247, 0.437648, 0.037000
0.016689, 0.482049, 0.038000
0.017192, 0.473088, 0.039000
0.017677, 0.488694, 0.040000
0.018150, 0.438430, 0.041000
0.018565, 0.419182, 0.042000
0.018959, 0.374541, 0.043000
0.019307, 0.357129, 0.044000
0.019695, 0.403478, 0.045000
0.020136, 0.456197, 0.046000
0.020560, 0.376113, 0.047000
0.020906, 0.355173, 0.048000
0.021233, 0.352380, 0.049000
0.021603, 0.341695, 0.050000
0.021928, 0.314065, 0.051000
0.022242, 0.315905, 0.052000
0.022527, 0.270718, 0.053000
0.022768, 0.220872, 0.054000
0.023043, 0.205663, 0.055000
0.023265, 0.250388, 0.056000
0.023558, 0.223997, 0.057000
0.023731, 0.174333, 0.058000
0.023856, 0.169566, 0.059000
0.024006, 0.146683, 0.060000
0.024089, 0.051557, 0.061000
0.024144, 0.062603, 0.062000
0.024148, 0.026381, 0.063000
0.024215, 0.069828, 0.064000
