x,v,t
-0.018509, 0.473380, 0.000000
-0.015476, 0.626990, 0.005000
-0.013157, 0.451704, 0.010000
-0.010771, 0.532467, 0.015000
-0.008211, 0.578082, 0.020000
-0.005416, 0.475849, 0.025000
-0.003145, 0.378756, 0.030000
-0.001250, 0.356271, 0.035000
0.000863, 0.349493, 0.040000
0.002616, 0.158925, 0.045000
0.003129, 0.213878, 0.050000
0.004160, 0.109395, 0.055000
0.004919, 0.153601, 0.060000
0.005810, 0.169318, 0.065000
0.006156, 0.104138, 0.070000
0.006303, 0.084620, 0.075000
0.006269, -0.007381, 0.080000
0.006191, -0.094079, 0.085000
0.005542, -0.175270, 0.090000
0.004626, -0.040401, 0.095000
0.004386, -0.046550, 0.100000
0.004158, -0.034881, 0.105000
0.003863, -0.131639, 0.110000
0.003195, 0.013672, 0.115000
0.004233, 0.309411, 0.120000
0.005886, 0.311518, 0.125000
0.007058, 0.159363, 0.130000
0.007629, 0.075565, 0.135000
0.008284, 0.021255, 0.140000
0.008793, 0.112025, 0.145000
0.009047, -0.059924, 0.150000
0.008128, -0.178999, 0.155000
0.007767, -0.080918, 0.160000
0.007412, -0.113881, 0.165000
0.006724, -0.128028, 0.170000
0.005690, -0.230419, 0.175000
0.005192, -0.096517, 0.180000
0.004720, -0.127820, 0.185000
0.003932, -0.145152, 0.190000
0.002914, -0.197426, 0.195000
0.002075, -0.170976, 0.200000
0.001100, -0.260967, 0.205000
-0.000500, -0.142664, 0.210000
-0.001408, -0.072078, 0.215000
-0.001671, -0.014858, 0.220000
-0.001986, 0.001886, 0.225000
-0.002191, 0.005295, 0.230000
-0.002069, -0.050319, 0.235000
-0.002877, -0.076781, 0.240000
-0.002308, 0.151210, 0.245000
-0.001517, 0.059778, 0.250000
-0.001498, 0.076833, 0.255000
-0.000705, 0.190819, 0.260000
0.000130, 0.191390, 0.265000
0.001462, 0.252114, 0.270000
0.002674, 0.292615, 0.275000
0.003668, 0.167693, 0.280000
0.004533, 0.123035, 0.285000
0.004794, -0.012663, 0.290000
0.004746, -0.090729, 0.295000
0.004229, -0.171071, 0.300000
0.003814, -0.070672, 0.305000
0.003092, -0.117239, 0.310000
0.002472, -0.146721, 0.315000
0.001883, -0.138814, 0.320000
0.001176, -0.139687, 0.325000
0.000517, -0.130380, 0.330000
0.000058, -0.103343, 0.335000
-0.000683, -0.207876, 0.340000
-0.001701, -0.241726, 0.345000
-0.002613, -0.069981, 0.350000
-0.003103, -0.147119, 0.355000
-0.003501, -0.034009, 0.360000
-0.003641, -0.060337, 0.365000
-0.004120, -0.108830, 0.370000
-0.004731, -0.064010, 0.375000
-0.004882, -0.096299, 0.380000
-0.005853, -0.224956, 0.385000
-0.007334, -0.257487, 0.390000
-0.009226, -0.397222, 0.395000
-0.011228, -0.404011, 0.400000
-0.013350, -0.447507, 0.405000
-0.014982, -0.298772, 0.410000
-0.016484, -0.390828, 0.415000
-0.017915, -0.266851, 0.420000
-0.019293, -0.282476, 0.425000
-0.020580, -0.199290, 0.430000
-0.021047, 0.016908, 0.435000
-0.020920, 0.021844, 0.440000
-0.020896, 0.008601, 0.445000
-0.020962, 0.044486, 0.450000
-0.020498, -0.010808, 0.455000
-0.020143, 0.084441, 0.460000
-0.019768, 0.153249, 0.465000
-0.018659, 0.353354, 0.470000
-0.016714, 0.309811, 0.475000
-0.015039, 0.288615, 0.480000
-0.014007, 0.297481, 0.485000
-0.013196, 0.204104, 0.490000
-0.011564, 0.410125, 0.495000
-0.009499, 0.333853, 0.500000
-0.007613, 0.531520, 0.505000
-0.005127, 0.442250, 0.510000
-0.002473, 0.557217, 0.515000
0.000087, 0.479328, 0.520000
0.002794, 0.533736, 0.525000
0.004987, 0.334850, 0.530000
0.006463, 0.236902, 0.535000
0.007628, 0.051545, 0.540000
0.008163, 0.140429, 0.545000
0.008377, -0.051244, 0.550000
0.008393, -0.123398, 0.555000
0.008126, -0.080670, 0.560000
0.007190, -0.119925, 0.565000
0.006345, -0.263617, 0.570000
0.005305, -0.157845, 0.575000
0.004398, -0.098621, 0.580000
0.003735, -0.252997, 0.585000
0.002307, -0.268369, 0.590000
0.000954, -0.317291, 0.595000
-0.000792, -0.356186, 0.600000
-0.002332, -0.263457, 0.605000
-0.003577, -0.314243, 0.610000
-0.005337, -0.461508, 0.615000
-0.007702, -0.429317, 0.620000
-0.009611, -0.351515, 0.625000
-0.011357, -0.333675, 0.630000
-0.013281, -0.286713, 0.635000
-0.014583, -0.242022, 0.640000
-0.015719, -0.136859, 0.645000
-0.016475, -0.010931, 0.650000
-0.016289, 0.149292, 0.655000
-0.015523, 0.140382, 0.660000
-0.014436, 0.177825, 0.665000
-0.012946, 0.160578, 0.670000
-0.012510, -0.008411, 0.675000
-0.012419, -0.017259, 0.680000
-0.012414, 0.132685, 0.685000
-0.011183, 0.350448, 0.690000
-0.009442, 0.390164, 0.695000
-0.007649, 0.289877, 0.700000
