time,temperature,pressure,lattice,pos1,pos2
0.083000,1270.163333,46845.298798,4.054638,-0.274131,0.117926,0.015530
0.084000,1261.783781,47642.646394,4.054921,-0.279350,0.124996,0.011326
0.085000,1253.473359,48442.360977,4.055208,-0.284336,0.131794,0.007453
0.086000,1245.367881,49237.416218,4.055500,-0.289084,0.138294,0.003929
0.087000,1237.603073,50021.413824,4.055796,-0.293592,0.144472,0.000768
0.088000,1230.315765,50785.897071,4.056097,-0.297855,0.150306,-0.002020
0.089000,1223.644516,51528.084716,4.056403,-0.301870,0.155775,-0.004426
0.090000,1217.725462,52239.622621,4.056713,-0.305631,0.160862,-0.006446
0.091000,1212.686113,52914.062575,4.057027,-0.309134,0.165550,-0.008079
0.092000,1208.645546,53547.322269,4.057344,-0.312375,0.169823,-0.009327
0.093000,1205.714462,54132.889854,4.057665,-0.315345,0.173670,-0.010194
0.094000,1203.994188,54668.220505,4.057990,-0.318039,0.177080,-0.010686
0.095000,1203.576812,55152.151828,4.058317,-0.320450,0.180044,-0.010814
0.096000,1204.546743,55577.710730,4.058646,-0.322568,0.182554,-0.010588
0.097000,1206.985692,55940.634167,4.058978,-0.324386,0.184605,-0.010022
0.098000,1210.974004,56230.691152,4.059312,-0.325893,0.186193,-0.009130
0.099000,1216.590441,56442.052971,4.059647,-0.327079,0.187316,-0.007929
0.100000,1223.914880,56577.251631,4.059983,-0.327935,0.187971,-0.006435
0.101000,1233.025692,56635.735283,4.060319,-0.328448,0.188158,-0.004667
0.102000,1243.991790,56614.411355,4.060655,-0.328607,0.187879,-0.002642
0.103000,1256.864571,56515.484746,4.060990,-0.328402,0.187135,-0.000379
0.104000,1271.669074,56340.173561,4.061325,-0.327822,0.185929,0.002104
0.105000,1288.395046,56089.946845,4.061658,-0.326855,0.184266,0.004788
0.106000,1306.989596,55767.719838,4.061989,-0.325493,0.182150,0.007656
0.107000,1327.350678,55373.697305,4.062318,-0.323725,0.179587,0.010691
0.108000,1349.323807,54902.476422,4.062644,-0.321543,0.176586,0.013876
0.109000,1372.700131,54361.438280,4.062967,-0.318942,0.173153,0.017195
0.110000,1397.216256,53754.115369,4.063286,-0.315915,0.169300,0.020633
0.111000,1422.560681,53089.673131,4.063601,-0.312459,0.165038,0.024175
0.112000,1448.384561,52376.078927,4.063912,-0.308571,0.160379,0.027810
0.113000,1474.314409,51628.848499,4.064219,-0.304252,0.155336,0.031522
0.114000,1499.967721,50863.857367,4.064521,-0.299502,0.149925,0.035303
0.115000,1524.970838,50091.003193,4.064819,-0.294325,0.144162,0.039139
0.116000,1548.976026,49325.760103,4.065112,-0.288724,0.138065,0.043023
0.117000,1571.673585,48576.701379,4.065401,-0.282706,0.131652,0.046944
0.118000,1592.801619,47859.741571,4.065685,-0.276277,0.124943,0.050894
0.119000,1612.153555,47187.811715,4.065966,-0.269446,0.117960,0.054866
0.120000,1629.577254,46567.919189,4.066242,-0.262221,0.110723,0.058852
0.121000,1644.971937,46008.730572,4.066516,-0.254612,0.103256,0.062846
0.122000,1658.285397,45515.583430,4.066786,-0.246628,0.095581,0.066841
0.123000,1669.507089,45092.612972,4.067054,-0.238281,0.087724,0.070831
0.124000,1678.662294,44738.124734,4.067320,-0.229579,0.079708,0.074811
0.125000,1685.810750,44451.959115,4.067585,-0.220534,0.071559,0.078776
0.126000,1691.038600,44235.991323,4.067848,-0.211155,0.063303,0.082718
0.127000,1694.450276,44086.147513,4.068110,-0.201452,0.054967,0.086635
0.128000,1696.166138,44003.243493,4.068372,-0.191434,0.046578,0.090519
0.129000,1696.313952,43976.776519,4.068633,-0.181109,0.038165,0.094368
0.130000,1695.020693,44002.531504,4.068895,-0.170485,0.029755,0.098175
0.131000,1692.406968,44076.058118,4.069157,-0.159570,0.021377,0.101936
0.132000,1688.586050,44195.863555,4.069420,-0.148370,0.013060,0.105647
0.133000,1683.662253,44353.058322,4.069684,-0.136891,0.004832,0.109304
0.134000,1677.728216,44548.797246,4.069949,-0.125137,-0.003279,0.112901
0.135000,1670.864609,44778.831529,4.070215,-0.113113,-0.011246,0.116435
