time,temperature,pressure,lattice,pos1,pos2
0.082000,1256.984650,46045.139559,4.054910,-0.044300,-0.088205,0.100889
0.083000,1248.275411,46689.944642,4.055201,-0.036396,-0.082639,0.098846
0.084000,1239.421722,47339.144002,4.055497,-0.028190,-0.077361,0.096724
0.085000,1230.669267,47986.506288,4.055796,-0.019691,-0.072399,0.094523
0.086000,1222.278830,48626.683352,4.056100,-0.010911,-0.067780,0.092244
0.087000,1214.522564,49256.736314,4.056407,-0.001861,-0.063527,0.089888
0.088000,1207.677545,49867.542431,4.056718,0.007444,-0.059661,0.087453
0.089000,1202.014236,50452.016118,4.057033,0.016986,-0.056202,0.084941
0.090000,1197.788350,51004.658337,4.057352,0.026746,-0.053167,0.082350
0.091000,1195.232649,51516.767935,4.057673,0.036703,-0.050572,0.079681
0.092000,1194.545699,51985.051906,4.057998,0.046831,-0.048428,0.076935
0.093000,1195.883759,52405.179819,4.058325,0.057104,-0.046747,0.074113
0.094000,1199.353243,52776.113589,4.058655,0.067493,-0.045538,0.071216
0.095000,1205.006848,53091.301866,4.058986,0.077967,-0.044807,0.068248
0.096000,1212.843572,53349.990295,4.059319,0.088493,-0.044560,0.065211
0.097000,1222.807587,53547.281637,4.059654,0.099038,-0.044801,0.062109
0.098000,1234.792172,53683.798474,4.059989,0.109566,-0.045533,0.058949
0.099000,1248.644407,53758.483887,4.060325,0.120040,-0.046755,0.055737
0.100000,1264.168798,53774.112033,4.060661,0.130422,-0.048469,0.052480
0.101000,1281.138093,53732.413681,4.060997,0.140677,-0.050673,0.049188
0.102000,1299.304273,53633.751963,4.061332,0.150767,-0.053364,0.045870
0.103000,1318.407286,53481.219374,4.061666,0.160654,-0.056540,0.042539
0.104000,1338.185961,53281.942819,4.061999,0.170304,-0.060194,0.039205
0.105000,1358.386649,53037.617052,4.062331,0.179680,-0.064323,0.035883
0.106000,1378.768654,52746.698324,4.062660,0.188750,-0.068919,0.032586
0.107000,1399.104875,52415.776686,4.062988,0.197480,-0.073975,0.029329
0.108000,1419.183162,52043.438115,4.063313,0.205841,-0.079481,0.026128
0.109000,1438.809526,51638.474939,4.063636,0.213801,-0.085428,0.022999
0.110000,1457.807750,51204.215779,4.063956,0.221334,-0.091803,0.019956
0.111000,1476.017705,50748.189365,4.064274,0.228414,-0.098594,0.017017
0.112000,1493.293698,50275.982839,4.064588,0.235016,-0.105785,0.014197
0.113000,1509.506855,49792.374623,4.064900,0.241118,-0.113360,0.011509
0.114000,1524.547278,49300.916974,4.065208,0.246697,-0.121300,0.008970
0.115000,1538.325460,48805.196736,4.065513,0.251735,-0.129586,0.006591
0.116000,1550.774922,48305.962614,4.065815,0.256212,-0.138194,0.004386
0.117000,1561.855059,47811.123485,4.066115,0.260111,-0.147101,0.002364
0.118000,1571.551287,47325.000544,4.066411,0.263415,-0.156280,0.000535
0.119000,1579.874209,46849.653755,4.066704,0.266108,-0.165703,-0.001093
0.120000,1586.862056,46387.725995,4.066994,0.268176,-0.175339,-0.002513
0.121000,1592.579401,45946.214250,4.067282,0.269604,-0.185157,-0.003721
0.122000,1597.110970,45526.153846,4.067567,0.270378,-0.195124,-0.004713
0.123000,1600.559353,45127.038821,4.067849,0.270485,-0.205205,-0.005489
0.124000,1603.043523,44751.922194,4.068129,0.269914,-0.215365,-0.006049
0.125000,1604.693590,44400.500210,4.068407,0.268653,-0.225567,-0.006395
