time,q1,q2,q3,Ekin,Epot,Etot
0.008900,-0.000195,0.051549,0.060252,0.318054,0.137473,0.455527
0.009000,-0.000763,0.050281,0.061772,0.318835,0.136690,0.455524
0.009100,-0.001301,0.048980,0.063286,0.319068,0.136454,0.455522
0.009200,-0.001808,0.047651,0.064791,0.318710,0.136810,0.455519
0.009300,-0.002285,0.046295,0.066286,0.317722,0.137796,0.455517
0.009400,-0.002733,0.044917,0.067768,0.316069,0.139446,0.455515
0.009500,-0.003152,0.043519,0.069237,0.313725,0.141789,0.455514
0.009600,-0.003544,0.042104,0.070691,0.310665,0.144848,0.455513
0.009700,-0.003907,0.040676,0.072127,0.306874,0.148638,0.455512
0.009800,-0.004244,0.039237,0.073544,0.302342,0.153170,0.455512
0.009900,-0.004555,0.037790,0.074940,0.297066,0.158447,0.455512
0.010000,-0.004840,0.036339,0.076315,0.291048,0.164465,0.455513
0.010100,-0.005101,0.034888,0.077665,0.284300,0.171214,0.455514
0.010200,-0.005337,0.033438,0.078989,0.276840,0.178676,0.455516
0.010300,-0.005550,0.031994,0.080286,0.268690,0.186828,0.455518
0.010400,-0.005740,0.030559,0.081554,0.259881,0.195639,0.455520
0.010500,-0.005909,0.029136,0.082791,0.250452,0.205071,0.455523
0.010600,-0.006056,0.027727,0.083996,0.240445,0.215080,0.455526
0.010700,-0.006183,0.026336,0.085167,0.229911,0.225618,0.455529
0.010800,-0.006291,0.024967,0.086302,0.218904,0.236629,0.455533
0.010900,-0.006379,0.023622,0.087401,0.207484,0.248053,0.455537
0.011000,-0.006450,0.022303,0.088461,0.195718,0.259823,0.455541
0.011100,-0.006503,0.021015,0.089481,0.183675,0.271871,0.455546
0.011200,-0.006540,0.019760,0.090460,0.171429,0.284122,0.455551
0.011300,-0.006561,0.018540,0.091396,0.159055,0.296501,0.455556
0.011400,-0.006566,0.017359,0.092289,0.146633,0.308927,0.455561
0.011500,-0.006558,0.016218,0.093136,0.134246,0.321320,0.455566
0.011600,-0.006535,0.015121,0.093938,0.121974,0.333597,0.455571
0.011700,-0.006500,0.014070,0.094691,0.109902,0.345675,0.455576
0.011800,-0.006452,0.013067,0.095396,0.098113,0.357469,0.455582
0.011900,-0.006392,0.012114,0.096052,0.086689,0.368898,0.455587
0.012000,-0.006322,0.011214,0.096657,0.075712,0.379880,0.455592
0.012100,-0.006240,0.010368,0.097210,0.065261,0.390336,0.455596
0.012200,-0.006149,0.009579,0.097711,0.055413,0.400188,0.455601
0.012300,-0.006048,0.008848,0.098160,0.046240,0.409365,0.455605
0.012400,-0.005938,0.008176,0.098554,0.037813,0.417796,0.455609
0.012500,-0.005820,0.007566,0.098894,0.030197,0.425417,0.455613
0.012600,-0.005694,0.007018,0.099179,0.023450,0.432167,0.455617
0.012700,-0.005560,0.006534,0.099408,0.017627,0.437993,0.455620
0.012800,-0.005419,0.006115,0.099581,0.012776,0.442846,0.455622
0.012900,-0.005270,0.005762,0.099699,0.008940,0.446684,0.455624
0.013000,-0.005115,0.005475,0.099759,0.006153,0.449474,0.455626
0.013100,-0.004954,0.005255,0.099763,0.004442,0.451186,0.455627
0.013200,-0.004787,0.005103,0.099710,0.003828,0.451800,0.455628
0.013300,-0.004614,0.005018,0.099600,0.004324,0.451305,0.455628
0.013400,-0.004434,0.005002,0.099433,0.005935,0.449693,0.455628
0.013500,-0.004250,0.005055,0.099209,0.008658,0.446969,0.455628
0.013600,-0.004059,0.005175,0.098928,0.012483,0.443143,0.455627
