temp, val
0.000000, inf
0.100000, 6291330019116.110352
0.200000, 1572832504779.027588
0.300000, 699036668790.678833
0.400000, 393208126194.756897
0.500000, 251653200764.644440
0.600000, 174759167197.669739
0.700000, 128394490186.043091
0.800000, 98302031548.689240
0.900000, 77670740976.742126
1.000000, 62913300191.161125
1.100000, 51994462967.901756
1.200000, 43689791799.417435
1.300000, 37226804846.840889
1.400000, 32098622546.510765
1.500000, 27961466751.627151
1.600000, 24575507887.172298
1.700000, 21769308024.623207
1.800000, 19417685244.185516
1.900000, 17427506978.160965
2.000000, 15728325047.790272
2.100000, 14266054465.115891
2.200000, 12998615741.975430
2.300000, 11892873382.072035
2.400000, 10922447949.854349
2.500000, 10066128030.585772
2.600000, 9306701211.710217
2.700000, 8630082330.749117
2.800000, 8024655636.627686
2.900000, 7480772912.147568
3.000000, 6990366687.906783
3.100000, 6546649343.513116
3.200000, 6143876971.793072
3.300000, 5777162551.989077
3.400000, 5442327006.155800
3.500000, 5135779607.441718
3.600000, 4854421311.046377
3.700000, 4595566120.610741
3.800000, 4356876744.540237
3.900000, 4136311649.648983
4.000000, 3932081261.947566
4.100000, 3742611552.121420
4.200000, 3566513616.278973
4.300000, 3402558149.873504
4.400000, 3249653935.493858
4.500000, 3106829639.069684
4.600000, 2973218345.518011
4.700000, 2848044372.619336
4.800000, 2730611987.463591
4.900000, 2620295718.082514
5.000000, 2516532007.646446
5.100000, 2418812002.735916
5.200000, 2326675302.927558
5.300000, 2239704527.987226
5.400000, 2157520582.687284
5.500000, 2079778518.716073
5.600000, 2006163909.156926
5.700000, 1936389664.240111
5.800000, 1870193228.036897
5.900000, 1807334104.888285
6.000000, 1747591671.976701
6.100000, 1690763240.826693
6.200000, 1636662335.878284
6.300000, 1585117162.790658
6.400000, 1535969242.948272
6.500000, 1489072193.873639
6.600000, 1444290637.997274
6.700000, 1401499224.574766
6.800000, 1360581751.538955
6.900000, 1321430375.785786
7.000000, 1283944901.860434
7.100000, 1248032140.272987
7.200000, 1213605327.761599
7.300000, 1180583602.761518
7.400000, 1148891530.152690
7.500000, 1118458670.065089
7.600000, 1089219186.135064
7.700000, 1061111489.140855
7.800000, 1034077912.412250
7.900000, 1008064415.817358
8.000000, 983020315.486895
8.100000, 958898036.749906
8.200000, 935652888.030359
8.300000, 913242853.696637
8.400000, 891628404.069747
8.500000, 870772320.984932
8.600000, 850639537.468379
8.700000, 831196990.238622
8.800000, 812413483.873467
8.900000, 794259565.599815
9.000000, 776707409.767424
9.100000, 759730711.160021
9.200000, 743304586.379505
9.300000, 727405482.612572
9.400000, 712011093.154836
9.500000, 697100279.126441
9.600000, 682652996.865900
9.700000, 668650230.536309
9.800000, 655073929.520630
9.900000, 641906950.221012
10.000000, 629133001.911613
10.100000, 616736596.325472
10.200000, 604703000.683981
10.300000, 593018193.902925
10.400000, 581668825.731891
10.500000, 570642178.604638
10.600000, 559926131.996808
10.700000, 549509129.104388
10.800000, 539380145.671822
10.900000, 529528660.812738
11.000000, 519944629.679020
11.100000, 510618457.845641
11.200000, 501540977.289233
11.300000, 492703423.848080
11.400000, 484097416.060029
11.500000, 475714935.282884
11.600000, 467548307.009225
11.700000, 459590183.294334
11.800000, 451833526.222073
11.900000, 444271592.339251
12.000000, 436897917.994176
12.100000, 429706305.519851
12.200000, 422690810.206674
12.300000, 415845728.013493
12.400000, 409165583.969572
12.500000, 402645121.223433
12.600000, 396279290.697666
12.700000, 390063241.311683
12.800000, 383992310.737069
12.900000, 378062016.652613
13.000000, 372268048.468411
13.100000, 366606259.490481
13.200000, 361072659.499319
13.300000, 355663407.717573
13.400000, 350374806.143692
13.500000, 345203293.229967
13.600000, 340145437.884739
13.700000, 335197933.779964
13.800000, 330357593.946447
13.900000, 325621345.640295
14.000000, 320986225.465109
14.100000, 316449374.735483
14.200000, 312008035.068247
14.300000, 307659544.188769
14.400000, 303401331.940400
14.500000, 299230916.485904
14.600000, 295145900.690380
14.700000, 291143968.675836
14.800000, 287222882.538173
14.900000, 283380479.217879
15.000000, 279614667.516273
15.100000, 275923425.249601
15.200000, 272304796.533767
15.300000, 268756889.192881
15.400000, 265277872.285214
15.500000, 261865973.740526
15.600000, 258519478.103063
15.700000, 255236724.374869
15.800000, 252016103.954340
15.900000, 248856058.665248
16.000000, 245755078.871724
16.100000, 242711701.674941
16.200000, 239724509.187477
16.300000, 236792126.881559
16.400000, 233913222.007590
16.500000, 231086502.079564
16.600000, 228310713.424159
16.700000, 225584639.790460
16.800000, 222907101.017437
16.900000, 220276951.756456
17.000000, 217693080.246233
17.100000, 215154407.137790
17.200000, 212659884.367095
17.300000, 210208494.073177
17.400000, 207799247.559655
17.500000, 205431184.297669
17.600000, 203103370.968367
17.700000, 200814900.543143
17.800000, 198564891.399953
17.900000, 196352486.474084
18.000000, 194176852.441856
18.100000, 192037178.935811
18.200000, 189932677.790005
18.300000, 187862582.314077
18.400000, 185826146.594876
18.500000, 183822644.824430
18.600000, 181851370.653142
18.700000, 179911636.567134
18.800000, 178002773.288708
18.900000, 176124129.198962
19.000000, 174275069.781610
19.100000, 172454977.087144
19.200000, 170663249.216474
19.300000, 168899299.823247
19.400000, 167162557.634077
19.500000, 165452465.985959
19.600000, 163768482.380157
19.700000, 162110078.051898
19.800000, 160476737.555252
19.900000, 158867958.362569
20.000000, 157283250.477903
20.100000, 155722136.063862
20.200000, 154184149.081367
20.300000, 152668834.941787
20.400000, 151175750.170994
20.500000, 149704462.084857
20.600000, 148254548.475730
20.700000, 146825597.309531
20.800000, 145417206.432972
